Size	Rank by matrix inspection	Rank by Gauss-Jordan elimination
3	0.002633810043334961	0.0018436908721923828
4	0.007126569747924805	0.010498285293579102
5	0.006890296936035156	0.050699710845947266
6	0.015463829040527344	0.1630706787109375
7	0.03509807586669922	0.5140459537506104
8	0.05193042755126953	1.4305155277252197
9	0.10305094718933105	3.7534711360931396
10	0.16618704795837402	8.229673385620117
11	0.2103900909423828	16.480224609375
12	0.36835265159606934	33.35154461860657
13	0.4668605327606201	62.224706172943115
14	0.7944650650024414	118.26679515838623
15	1.185349702835083	200.6525115966797
16	1.38407301902771	356.84900403022766
17	2.010815143585205	561.5330014228821
18	3.2653958797454834	968.4920291900635
19	3.8523573875427246	1448.3558249473572
20	4.944899320602417	2140.671070098877
